District ID,City ID,Name
452,32,BOSAR MALIGAS
453,32,UJUNG PADANG
454,33,SIDIKALANG
455,33,BERAMPU
456,33,SITINJO
457,33,PARBULUAN
458,33,SUMBUL
459,33,SILAHISABUNGAN
460,33,SILIMA PUNGGA PUNGGA
461,33,LAE PARIRA
462,33,SIEMPAT NEMPU
463,33,SIEMPAT NEMPU HULU
464,33,SIEMPAT NEMPU HILIR
465,33,TIGALINGGA
466,33,GUNUNG SITEMBER
467,33,PEGAGAN HILIR
468,33,TANAH PINEM
469,34,MARDINGDING
470,34,LAUBALENG
471,34,TIGABINANGA
472,34,JUHAR
473,34,MUNTE
474,34,KUTABULUH
475,34,PAYUNG
476,34,TIGANDERKET
477,34,SIMPANG EMPAT
478,34,NAMAN TERAN
479,34,MERDEKA
480,34,KABANJAHE
481,34,BERASTAGI
482,34,TIGAPANAH
483,34,DOLAT RAYAT
484,34,MEREK
485,34,BARUSJAHE
486,35,GUNUNG MERIAH
487,35,STM HULU
488,35,SIBOLANGIT
489,35,KUTALIMBARU
490,35,PANCUR BATU
491,35,NAMORAMBE
492,35,SIBIRU-BIRU
493,35,STM HILIR
494,35,BANGUN PURBA
495,35,GALANG
496,35,TANJUNG MORAWA
497,35,PATUMBAK
498,35,DELI TUA
499,35,SUNGGAL
500,35,HAMPARAN PERAK
501,35,LABUHAN DELI
502,35,PERCUT SEI TUAN
503,35,BATANG KUIS
504,35,PANTAI LABU
505,35,BERINGIN
506,35,LUBUK PAKAM
507,35,PAGAR MERBAU
508,36,BAHOROK
509,36,SIRAPIT
510,36,SALAPIAN
511,36,KUTAMBARU
512,36,SEI BINGAI
513,36,KUALA
514,36,SELESAI
515,36,BINJAI
516,36,STABAT
517,36,WAMPU
518,36,BATANG SERANGAN
519,36,SAWIT SEBERANG
520,36,PADANG TUALANG
521,36,HINAI
522,36,SECANGGANG
523,36,TANJUNG PURA
524,36,GEBANG
525,36,BABALAN
526,36,SEI LEPAN
527,36,BERANDAN BARAT
528,36,BESITANG
529,36,PANGKALAN SUSU
530,36,PEMATANG JAYA
531,37,HIBALA
532,37,TANAH MASA
533,37,PULAU-PULAU BATU
534,37,PULAU-PULAU BATU TIMUR
535,37,SIMUK
536,37,PULAU-PULAU BATU BARAT
537,37,PULAU-PULAU BATU UTARA
538,37,TELUK DALAM
539,37,FANAYAMA
540,37,TOMA
541,37,MANIAMOLO
542,37,MAZINO
543,37,LUAHAGUNDRE
544,37,ONOLALU
545,37,AMANDRAYA
546,37,ARAMO
547,37,ULUSUSUA
548,37,LAHUSA
549,37,SIDUA'ORI
550,37,SOMAMBAWA
551,37,GOMO
552,37,SUSUA
553,37,MAZO
554,37,UMBUNASI
555,37,IDANOTAE
556,37,ULU IDANOTAE
557,37,BORONADU
558,37,LOLOMATUA
559,37,ULUNOYO
560,37,HURUNA
561,37,LOLOWAU
562,37,HILIMEGAI
563,37,O'O'U
564,37,ONOHAZUMBA
565,37,HILISALAWA'AHE
566,38,PAKKAT
567,38,ONAN GANJANG
568,38,SIJAMAPOLANG
569,38,DOLOK SANGGUL
570,38,LINTONG NIHUTA
571,38,PARANGINAN
572,38,BAKTIRAJA
573,38,POLLUNG
574,38,PARLILITAN
